Dataset,Condition,Setting,FPR (%),FNR (%),ACC (%)
Cora,CondA ✓,I,91.11 ± 17.78,4.44 ± 8.89,52.22 ± 4.44
Cora,CondA ✓,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
Cora,CondA ✓,III,0.00 ± 0.00,70.00 ± 10.00,72.00 ± 4.00
Cora,CondA ✓,IV,0.00 ± 0.00,70.00 ± 10.00,72.00 ± 4.00
Cora,CondA ✗,I,86.67 ± 10.89,6.67 ± 5.44,53.33 ± 2.72
Cora,CondA ✗,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
Cora,CondA ✗,III,0.00 ± 0.00,70.00 ± 10.00,72.00 ± 4.00
Cora,CondA ✗,IV,0.00 ± 0.00,70.00 ± 10.00,72.00 ± 4.00
CiteSeer,CondA ✓,I,71.11 ± 29.48,20.00 ± 24.75,54.44 ± 4.16
CiteSeer,CondA ✓,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
CiteSeer,CondA ✓,III,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
CiteSeer,CondA ✓,IV,0.00 ± 0.00,70.00 ± 10.00,72.00 ± 4.00
CiteSeer,CondA ✗,I,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
CiteSeer,CondA ✗,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
CiteSeer,CondA ✗,III,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
CiteSeer,CondA ✗,IV,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
Amazon,CondA ✓,I,71.11 ± 36.92,20.00 ± 29.31,54.44 ± 4.16
Amazon,CondA ✓,II,53.33 ± 42.40,26.67 ± 25.92,60.00 ± 8.89
Amazon,CondA ✓,III,0.00 ± 0.00,30.00 ± 10.00,88.00 ± 4.00
Amazon,CondA ✓,IV,3.33 ± 6.67,35.00 ± 12.25,84.00 ± 4.90
Amazon,CondA ✗,I,93.33 ± 8.89,0.00 ± 0.00,53.33 ± 4.44
Amazon,CondA ✗,II,24.44 ± 38.75,55.56 ± 31.43,60.00 ± 6.48
Amazon,CondA ✗,III,0.00 ± 0.00,35.00 ± 12.25,86.00 ± 4.90
Amazon,CondA ✗,IV,0.00 ± 0.00,40.00 ± 12.25,84.00 ± 4.90
DBLP,CondA ✓,I,91.11 ± 12.96,4.44 ± 8.89,52.22 ± 2.72
DBLP,CondA ✓,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
DBLP,CondA ✓,III,6.67 ± 8.16,60.00 ± 20.00,72.00 ± 4.00
DBLP,CondA ✓,IV,13.33 ± 12.47,45.00 ± 18.71,74.00 ± 4.90
DBLP,CondA ✗,I,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
DBLP,CondA ✗,II,91.11 ± 17.78,6.67 ± 13.33,51.11 ± 2.22
DBLP,CondA ✗,III,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
DBLP,CondA ✗,IV,6.67 ± 8.16,30.00 ± 24.49,84.00 ± 10.20
PubMed,CondA ✓,I,97.78 ± 4.44,0.00 ± 0.00,51.11 ± 2.22
PubMed,CondA ✓,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
PubMed,CondA ✓,III,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
PubMed,CondA ✓,IV,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
PubMed,CondA ✗,I,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
PubMed,CondA ✗,II,100.00 ± 0.00,0.00 ± 0.00,50.00 ± 0.00
PubMed,CondA ✗,III,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00
PubMed,CondA ✗,IV,0.00 ± 0.00,75.00 ± 0.00,70.00 ± 0.00