dataset,setting,mode,target_acc_mean,target_acc_std,indep_acc_mean,indep_acc_std,surr_acc_mean,surr_acc_std,surr_fid_mean,surr_fid_std,cown_acc_mean,cown_acc_std
Amazon,I,Inductive,74.72766936,2.433793066,75.99350429,2.807438253,66.12099587,3.767657614,84.28144935,2.742822875,93.75,8.625819492
Amazon,I,Transductive,74.72766936,2.433793066,75.98846116,2.809416573,66.26724779,3.505791579,84.50839197,2.287750406,93.75,8.625819492
Amazon,II,Inductive,74.21024069,2.936450688,75.722182,1.483742129,64.10977973,3.810170195,82.16029273,2.239979708,100,0
Amazon,II,Transductive,74.21024069,2.936450688,75.72319065,1.48381853,64.13096107,3.76414472,82.13205106,1.9391017,100,0
Amazon,III,Inductive,74.818445,2.776157246,76.05906568,1.315007683,48.65196113,3.906533014,61.48329745,5.397102683,100,0
Amazon,III,Transductive,74.80936721,2.771182961,76.05503119,1.313337296,48.65196113,3.906533014,61.48934931,5.39143826,100,0
Amazon,IV,Inductive,77.1060288,4.273100267,75.75849262,1.420200514,50.7035226,5.022975708,62.91454871,6.082537691,97.5,7.071067812
Amazon,IV,Transductive,77.1060288,4.273100267,75.75748406,1.420005262,50.7035226,5.022975708,62.91454871,6.082537691,97.5,7.071067812
CiteSeer,I,Inductive,71.77177369594574,1.0647533107843492,72.94377974338002,1.3912004966121483,73.57774749398232,1.1895509263973538,91.66249790125423,0.5610137603513385,91.66666666666667,8.908708063747481
CiteSeer,I,Transductive,71.77177369594574,1.0647533107843492,72.94377974338002,1.3912004966121483,73.56940582,1.1983429173168936,91.65415623121791,0.5644055196687388,91.66666666666667,8.908708063747481
CiteSeer,II,Inductive,72.10961133241653,1.1055630562462107,72.92292540272076,1.138527077192637,72.17634485827551,1.5939817451938052,91.49983541833029,0.9707933926959381,93.75,8.625819491779417
CiteSeer,II,Transductive,72.10961133241653,1.1055630562462107,72.92292540272076,1.138527077192637,72.18468652831183,1.585126582819718,91.51234792338477,0.9698406293019681,91.66666666666667,8.908708063747481
CiteSeer,III,Inductive,71.84684872627258,0.9186045352785076,73.03970886601343,1.3594631797562717,51.82682887340585,2.433482699252227,60.47297349820534,2.528358882931918,100,0
CiteSeer,III,Transductive,71.84684872627258,0.9186045352785076,73.03970886601343,1.3594631797562717,51.82682887340585,2.433482699252227,60.47297349820534,2.528358882931918,100,0
CiteSeer,IV,Inductive,72.40991219878197,1.4574197263651163,72.95212108227942,1.1431189724073934,56.65040258318186,3.119829912164031,66.52277372777462,3.530106445182951,100,0
CiteSeer,IV,Transductive,72.40991219878197,1.4574197263651163,72.95212108227942,1.1431189724073934,56.64414633065462,3.110560938860846,66.52902998030186,3.5384408830786906,100,0
Cora,I,Inductive,86.07536629,0.364350057,85.08476276,0.729251325,86.01919835,0.728699547,95.40951807,1.552431607,95.83333333,7.715167498
Cora,I,Transductive,86.07536629,0.364350057,85.08476276,0.729251325,86.01919835,0.728699547,95.40951807,1.552431607,95.83333333,7.715167498
Cora,II,Inductive,86.16727814,0.67897562,85.20220543,0.684504016,85.75367555,0.713492315,95.37377523,0.875243012,91.66666667,8.908708064
Cora,II,Transductive,86.16727814,0.67897562,85.20220543,0.684504016,85.75367555,0.713492315,95.37377523,0.875243012,91.66666667,8.908708064
Cora,III,Inductive,85.98345444,0.603706665,85.05412497,0.95587684,59.26776932,2.043234332,62.53829622,2.596340859,100,0
Cora,III,Transductive,85.98345444,0.603706665,85.05412497,0.95587684,59.26776932,2.043234332,62.53829622,2.596340859,100,0
Cora,IV,Inductive,85.98345518,1.11923336,85.16646177,0.710374363,66.8734679,2.61199434,70.71844321,2.718749521,100,0
Cora,IV,Transductive,85.98345518,1.11923336,85.16646177,0.710374363,66.8734679,2.61199434,70.71844321,2.718749521,100,0
PubMed,I,Inductive,85.47160029411316,1.4055767825866161,86.07800669140286,1.2555878405802159,84.03622731566429,1.5159967661156328,95.70162635710504,0.48851841394759443,100,0
PubMed,I,Transductive,85.47160029411316,1.4055767825866161,86.07871101962195,1.255610642018456,84.03622731566429,1.5159967661156328,95.70162635710504,0.48851841394759443,100,0
PubMed,II,Inductive,85.43990552425385,1.5075765891313828,86.10547466410532,1.219525037818393,83.65519858,1.5021227600145137,94.75574476851358,0.5504532852567569,100,0
PubMed,II,Transductive,85.43990552425385,1.5075765891313828,86.10547466410532,1.219525037818393,83.65449433525403,1.5014299316259458,94.75504044029448,0.5503271029803263,100,0
PubMed,III,Inductive,85.45892238616943,1.4018459600203355,86.10899606,1.235588847369993,57.03177681813637,1.537385352822437,60.18424490466714,1.7685813325906397,100,0
PubMed,III,Transductive,85.45892238616943,1.4018459600203355,86.10899606,1.235588847369993,57.03177681813637,1.537385352822437,60.18424490466714,1.7685813325906397,100,0
PubMed,IV,Inductive,85.37651822,1.4541180433778989,86.08434523145358,1.2317357633422827,63.20359905560811,3.853679200667111,67.01529628,4.251243661477413,100,0
PubMed,IV,Transductive,85.37651822,1.4541180433778989,86.08434523145358,1.2317357633422827,63.20359905560811,3.853679200667111,67.01529628,4.251243661477413,100,0
dblp,I,Inductive,84.09667015075684,0.8904874959006944,83.11411357588239,0.6737062534471557,83.48208309875594,1.0747514260566795,94.39433357781834,0.5186943011733857,100,0
dblp,I,Transductive,84.09667015075684,0.8904874959006944,83.11411357588239,0.6737062534471557,83.48208309875594,1.0747514260566795,94.39433357781834,0.5186943011733857,100,0
dblp,II,Inductive,84.15303975343704,0.8325283644192363,83.06322404079967,0.7391647255743868,84.17809307575226,0.7964256301882281,94.14928149845865,0.6040526812442378,100,0
dblp,II,Transductive,84.15303975343704,0.8325283644192363,83.06165817711089,0.7366850732262857,84.17731018529997,0.7951250309841605,94.14849860800638,0.6041019644536465,100,0
dblp,III,Inductive,84.12485420703888,0.8585653812645303,83.04521698090765,0.7541799999775749,63.776537527640656,5.409483281624359,67.23505876337488,6.011977794715171,100,0
dblp,III,Transductive,84.12485420703888,0.8585653812645303,83.04756573504872,0.7529822086845728,63.777711925407246,5.410287503708998,67.23153569425146,6.014947800689849,100,0
dblp,IV,Inductive,84.18826982,0.9237954497679515,83.08592844340536,0.6570379800683244,68.50572787225246,4.590483784023131,71.64364544053872,4.968114182274684,100,0
dblp,IV,Transductive,84.18826982,0.9237954497679515,83.08514555295308,0.6573444249326462,68.50807654,4.593675097736268,71.64364544053872,4.968114182274684,100,0
